BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 10-45,France,E 10,"Marseille-Fos (Marseille-Rhône Canal, 0.0 km)","Marseille-Fos (Canal Marseille-Rhône, 0,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,"Oil products, minerals","Produits pétroliers, minéraux",FRMRS,"17","17"
P 70-12-01,Germany,E 70-12,"Moabit Power Station (Berlin-Spandauer Schiffahrtskanal, 9.0 km)","Centrale électrique de Moabit (Berlin-Spandauerschiffahrtskanal, 9,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"602","602"
P 06-01,Belgium,E 06,"Antwerpen (Schelde, 102.9 km)","Antwerpen (Schelde, 102,9 km)",No information,No information,No information,No information,No information,No,,,BEANR,"769","769"
P 80-04-01,France,E 80-04,"Nanterre (Seine, 39.4 km)","Nanterre (Seine, 39,4 km) Bruyères-sur-Oise (Oise, 96,9 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"88","88"
P 04-04,Belgium,E 04,"Grimbergen (Bruxelles-Schelde Canal, 75.8 km)","Grimbergen (Canal Bruxelles-Escaut, 75,8 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,BEGRB,"174","174"
P 80-19,Germany,E 80,"Offenbach (Main, 40.0 km)","Offenbach (Main, 40,0 km)",No information,Not available,Not available,Not available,Available,No,,,DEOFF,"180","180"
P 10-09-01,France,E 10-09,"Huningue (Rhine, 168.4 km)","Huningue (Rhin, 168,4 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,"Oil products, minerals, fertilizers","Produits pétroliers, minéraux, engrais",,"857","857"
P 80-53,Bulgaria,E 80,"Lom (Danube, 743.0 km)","Lom (Danube, 743,0 km)",3-10 Mt,Not available,Not available,Not available,Available,No,,,BGLOM,"328","328"
P 91-03-05,Italy,E 91-03,Canda (Mantova-Adriatic Sea Canal),Canda (Canal Mantova-mer Adriatique),No information,No information,No information,No information,No information,No,,,,"388","388"
P 30-04,Poland,E 30,"Wroclaw (Oder, 255.0 km)","Wroclaw (Oder, 255,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"406","406"
P 80-40,Slovakia,E 80,"Komárno (Danube, 1 767.1 km)","Komárno (Danube, 1 767,1 km)",3-10 Mt,Available,Available,Not available,Available,No,,,SKKNA,"260","260"
P 80-52bis,Bulgaria,E 80,"Vidin (Danube, 790.0 km)","Vidin (Danube, 790,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,BGVID,"327","327"
P 02-02,Belgium,E 02,"Aalter (Gent-Oostende Canal, 22.5 km)","Aalter (Canal Gent – Oostende, 22,5 km)",No information,No information,No information,No information,No information,No,,,,"730","730"
P 81-06,Slovakia,E 81,Trencín (Váh),Trencín (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"263","263"
P 01-09bis,Netherlands,E 01,"Venlo (Maas, 108.0–111.0 km)","Venlo (Maas, 108,0–111,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,NLVEN,"752","752"
P 40-08bis,Ukraine,E 40,"Cargo Handling terminal (Dnipro, 422.0 km)","Terminal de manutention des marchandises (Dnipro, 422,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,Bulk and general cargo,Marchandises diverses et en vrac,,"435","435"
P 80-18,Germany,E 80,"Frankfurt (Main, 31.0–37.0 km)","Frankfurt (Main, 31,0–37,0 km)",3-10 Mt,Available,Available,Not available,Available,No,,,DEFRA,"180","180"
P 80-61,Romania,E 80,"Galati (Danube, 76.0 Mm-160.0 km)","Galati (Danube, 76,0 Mm – 160,0 km)",>10 Mt,Not available,Not available,Available,Available,No,,,ROGAL,"353","353"
P 10-07-02,Germany,E 10-07,"Stuttgart (Neckar, 186.0 km)","Stuttgart (Neckar, 186,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DESTR,"192","192"
